name,type,category,price,quantity
Product 41,Electronics,Electronics & Gadgets,139.93,23
Product 42,Toys & Games,Apparel & Fashion,330.37,65
Product 43,Electronics,Books & Literature,246.02,49
Product 44,Clothing,Books & Literature,368.54,14
Product 45,Home Decor,Apparel & Fashion,87.98,75
Product 46,Home Decor,Toys & Games,392.13,37
Product 47,Books,Books & Literature,72.96,19
Product 48,Toys & Games,Electronics & Gadgets,28.02,83
Product 49,Home Decor,Books & Literature,461.8,34
Product 50,Home Decor,Apparel & Fashion,40.64,66
Product 51,Toys & Games,Toys & Games,215.27,65
Product 52,Clothing,Electronics & Gadgets,25.63,30
Product 53,Toys & Games,Books & Literature,150.14,40
Product 54,Clothing,Toys & Games,18.74,86
Product 55,Toys & Games,Toys & Games,258.0,40
Product 56,Toys & Games,Electronics & Gadgets,82.47,49
Product 57,Books,Books & Literature,182.8,14
Product 58,Home Decor,Toys & Games,147.23,81
Product 59,Books,Books & Literature,126.94,11
Product 60,Clothing,Books & Literature,14.46,37
Product 61,Electronics,Home & Garden,196.16,54
Product 62,Books,Home & Garden,94.94,23
Product 63,Clothing,Books & Literature,322.99,35
Product 64,Toys & Games,Books & Literature,75.42,51
Product 65,Toys & Games,Electronics & Gadgets,185.7,55
Product 66,Electronics,Electronics & Gadgets,84.57,62
Product 67,Home Decor,Toys & Games,465.23,14
Product 68,Clothing,Electronics & Gadgets,133.17,22
Product 69,Electronics,Books & Literature,19.58,31
Product 70,Electronics,Toys & Games,190.8,86
Product 71,Toys & Games,Apparel & Fashion,193.3,75
Product 72,Home Decor,Toys & Games,296.61,60
Product 73,Clothing,Books & Literature,336.21,32
Product 74,Electronics,Electronics & Gadgets,34.36,44
Product 75,Home Decor,Apparel & Fashion,206.51,93
Product 76,Clothing,Electronics & Gadgets,171.37,53
Product 77,Electronics,Home & Garden,238.73,88
Product 78,Toys & Games,Toys & Games,435.9,99
Product 79,Books,Home & Garden,284.26,87
Product 80,Electronics,Books & Literature,349.46,94
Product 81,Home Decor,Books & Literature,258.16,98
Product 82,Toys & Games,Books & Literature,54.07,38
Product 83,Electronics,Toys & Games,407.75,59
Product 84,Electronics,Books & Literature,437.73,53
Product 85,Clothing,Apparel & Fashion,377.54,98
Product 86,Electronics,Electronics & Gadgets,416.45,69
Product 87,Books,Toys & Games,158.69,36
Product 88,Clothing,Electronics & Gadgets,277.02,69
Product 89,Home Decor,Books & Literature,59.6,46
Product 90,Home Decor,Books & Literature,20.96,59
Product 91,Electronics,Electronics & Gadgets,416.55,55
Product 92,Toys & Games,Apparel & Fashion,109.82,1
Product 93,Clothing,Toys & Games,381.52,76
Product 94,Books,Electronics & Gadgets,376.68,15
Product 95,Home Decor,Toys & Games,437.43,60
Product 96,Books,Toys & Games,371.77,37
Product 97,Books,Books & Literature,387.47,21
Product 98,Home Decor,Toys & Games,293.26,100
Product 99,Books,Home & Garden,52.56,36
Product 100,Electronics,Toys & Games,456.55,22
Product 101,Books,Home & Garden,36.15,83
Product 102,Electronics,Home & Garden,406.98,3
Product 103,Home Decor,Apparel & Fashion,135.88,94
Product 104,Home Decor,Electronics & Gadgets,444.55,86
Product 105,Toys & Games,Electronics & Gadgets,157.41,76
Product 106,Books,Books & Literature,218.33,81
Product 107,Electronics,Apparel & Fashion,407.19,44
Product 108,Books,Home & Garden,155.52,17
Product 109,Electronics,Home & Garden,472.89,68
Product 110,Clothing,Electronics & Gadgets,131.68,50
Product 111,Electronics,Home & Garden,48.55,45
Product 112,Books,Toys & Games,395.0,87
Product 113,Toys & Games,Electronics & Gadgets,255.12,87
Product 114,Toys & Games,Books & Literature,46.87,52
Product 115,Clothing,Books & Literature,455.29,90
Product 116,Electronics,Toys & Games,215.93,33
Product 117,Home Decor,Books & Literature,243.32,15
Product 118,Home Decor,Books & Literature,383.54,37
Product 119,Home Decor,Electronics & Gadgets,129.67,93
Product 120,Home Decor,Home & Garden,445.59,44
Product 121,Books,Electronics & Gadgets,20.39,83
Product 122,Toys & Games,Electronics & Gadgets,381.9,85
Product 123,Toys & Games,Electronics & Gadgets,210.75,73
Product 124,Electronics,Books & Literature,338.18,21
Product 125,Home Decor,Books & Literature,37.18,93
Product 126,Clothing,Home & Garden,157.98,54
Product 127,Electronics,Toys & Games,193.64,65
Product 128,Books,Books & Literature,134.07,42
Product 129,Home Decor,Toys & Games,173.12,93
Product 130,Electronics,Apparel & Fashion,165.7,87
Product 131,Home Decor,Home & Garden,347.5,28
Product 132,Clothing,Books & Literature,21.76,76
Product 133,Clothing,Home & Garden,329.12,55
Product 134,Books,Apparel & Fashion,295.61,20
Product 135,Toys & Games,Home & Garden,58.61,45
Product 136,Electronics,Electronics & Gadgets,333.3,79
Product 137,Home Decor,Books & Literature,106.26,92
Product 138,Books,Apparel & Fashion,96.97,33
Product 139,Books,Toys & Games,401.05,72
Product 140,Electronics,Books & Literature,111.99,38
Product 141,Books,Electronics & Gadgets,471.91,98
Product 142,Home Decor,Electronics & Gadgets,45.14,28
Product 143,Clothing,Toys & Games,15.61,17
Product 144,Home Decor,Books & Literature,361.18,26
Product 145,Electronics,Home & Garden,376.32,8
Product 146,Electronics,Toys & Games,336.46,10
Product 147,Toys & Games,Books & Literature,169.67,55
Product 148,Home Decor,Apparel & Fashion,458.27,27
Product 149,Books,Books & Literature,165.16,36
Product 150,Electronics,Home & Garden,498.25,3
Product 151,Toys & Games,Books & Literature,142.62,38
Product 152,Electronics,Books & Literature,113.07,12
Product 153,Electronics,Books & Literature,376.04,72
Product 154,Clothing,Apparel & Fashion,206.59,7
Product 155,Clothing,Electronics & Gadgets,56.28,13
Product 156,Toys & Games,Toys & Games,31.5,94
Product 157,Books,Books & Literature,204.72,54
Product 158,Clothing,Toys & Games,141.3,65
Product 159,Clothing,Apparel & Fashion,199.28,7
Product 160,Home Decor,Apparel & Fashion,475.18,12
Product 161,Toys & Games,Books & Literature,422.19,62
Product 162,Toys & Games,Books & Literature,334.69,44
Product 163,Home Decor,Electronics & Gadgets,102.12,74
Product 164,Electronics,Apparel & Fashion,457.8,100
Product 165,Home Decor,Books & Literature,479.94,45
Product 166,Books,Electronics & Gadgets,297.79,100
Product 167,Toys & Games,Books & Literature,397.83,44
Product 168,Electronics,Toys & Games,234.05,17
Product 169,Electronics,Home & Garden,169.72,31
Product 170,Clothing,Home & Garden,325.83,5
Product 171,Clothing,Apparel & Fashion,123.77,5
Product 172,Home Decor,Books & Literature,279.83,75
Product 173,Clothing,Books & Literature,466.04,47
Product 174,Clothing,Toys & Games,30.95,51
Product 175,Books,Home & Garden,364.01,19
Product 176,Books,Apparel & Fashion,431.06,9
Product 177,Electronics,Toys & Games,451.44,64
Product 178,Home Decor,Toys & Games,54.03,72
Product 179,Books,Electronics & Gadgets,340.68,56
Product 180,Electronics,Electronics & Gadgets,139.81,42
Product 181,Clothing,Apparel & Fashion,252.69,40
Product 182,Clothing,Books & Literature,338.29,44
Product 183,Electronics,Home & Garden,40.94,74
Product 184,Books,Toys & Games,367.47,24
Product 185,Home Decor,Toys & Games,70.68,14
Product 186,Home Decor,Toys & Games,41.67,19
Product 187,Clothing,Books & Literature,170.62,2
Product 188,Books,Electronics & Gadgets,175.56,46
Product 189,Clothing,Apparel & Fashion,403.33,56
Product 190,Toys & Games,Books & Literature,73.94,6
Product 191,Electronics,Home & Garden,112.22,49
Product 192,Electronics,Home & Garden,330.28,64
Product 193,Books,Apparel & Fashion,407.38,96
Product 194,Home Decor,Apparel & Fashion,391.6,31
Product 195,Clothing,Electronics & Gadgets,136.49,64
Product 196,Toys & Games,Toys & Games,382.41,38
Product 197,Toys & Games,Books & Literature,371.74,58
Product 198,Toys & Games,Books & Literature,382.37,59
Product 199,Electronics,Home & Garden,14.8,45
Product 200,Toys & Games,Apparel & Fashion,276.86,22
Product 201,Toys & Games,Home & Garden,474.88,63
Product 202,Home Decor,Apparel & Fashion,308.74,3
Product 203,Toys & Games,Apparel & Fashion,100.6,68
Product 204,Books,Home & Garden,485.77,40
Product 205,Home Decor,Electronics & Gadgets,24.12,58
Product 206,Electronics,Home & Garden,117.62,79
Product 207,Home Decor,Electronics & Gadgets,104.31,77
Product 208,Books,Books & Literature,402.74,99
Product 209,Toys & Games,Apparel & Fashion,55.16,49
Product 210,Home Decor,Toys & Games,137.24,12
Product 211,Electronics,Home & Garden,141.16,67
Product 212,Electronics,Books & Literature,390.98,39
Product 213,Toys & Games,Home & Garden,159.44,17
Product 214,Electronics,Electronics & Gadgets,72.36,46
Product 215,Books,Books & Literature,401.26,47
Product 216,Toys & Games,Apparel & Fashion,278.09,31
Product 217,Clothing,Electronics & Gadgets,62.17,18
Product 218,Clothing,Apparel & Fashion,354.61,99
Product 219,Electronics,Electronics & Gadgets,75.07,8
Product 220,Electronics,Apparel & Fashion,483.5,35
Product 221,Home Decor,Toys & Games,185.81,74
Product 222,Books,Apparel & Fashion,273.96,63
Product 223,Electronics,Books & Literature,248.65,36
Product 224,Toys & Games,Books & Literature,131.34,41
Product 225,Electronics,Home & Garden,406.96,77
Product 226,Toys & Games,Apparel & Fashion,38.57,47
Product 227,Books,Home & Garden,66.88,57
Product 228,Home Decor,Electronics & Gadgets,105.62,25
Product 229,Toys & Games,Books & Literature,152.44,46
Product 230,Toys & Games,Home & Garden,418.16,64
Product 231,Home Decor,Home & Garden,5.55,7
Product 232,Books,Apparel & Fashion,159.99,15
Product 233,Books,Toys & Games,311.83,3
Product 234,Home Decor,Books & Literature,125.61,13
Product 235,Toys & Games,Electronics & Gadgets,387.39,21
Product 236,Home Decor,Home & Garden,393.39,52
Product 237,Books,Books & Literature,271.21,47
Product 238,Home Decor,Home & Garden,133.19,89
Product 239,Electronics,Home & Garden,147.97,20
Product 240,Electronics,Electronics & Gadgets,237.97,7
Product 241,Home Decor,Books & Literature,290.9,35
Product 242,Books,Toys & Games,259.58,92
Product 243,Home Decor,Books & Literature,196.24,59
Product 244,Books,Electronics & Gadgets,465.86,79
Product 245,Electronics,Toys & Games,414.26,51
Product 246,Toys & Games,Toys & Games,469.51,97
Product 247,Books,Books & Literature,262.31,55
Product 248,Clothing,Apparel & Fashion,160.48,47
Product 249,Books,Electronics & Gadgets,222.07,67
Product 250,Toys & Games,Apparel & Fashion,436.07,50
Product 251,Toys & Games,Electronics & Gadgets,405.42,55
Product 252,Toys & Games,Home & Garden,414.41,65
Product 253,Toys & Games,Books & Literature,281.35,47
Product 254,Toys & Games,Home & Garden,291.04,78
Product 255,Home Decor,Electronics & Gadgets,176.83,23
Product 256,Toys & Games,Books & Literature,96.19,56
Product 257,Electronics,Books & Literature,97.02,98
Product 258,Toys & Games,Books & Literature,449.04,28
Product 259,Books,Home & Garden,216.65,20
Product 260,Books,Books & Literature,223.08,79
Product 261,Electronics,Home & Garden,117.15,42
Product 262,Electronics,Toys & Games,413.59,66
Product 263,Toys & Games,Apparel & Fashion,353.43,100
Product 264,Books,Books & Literature,200.9,64
Product 265,Books,Home & Garden,403.33,98
Product 266,Home Decor,Home & Garden,429.28,52
Product 267,Home Decor,Electronics & Gadgets,350.06,34
Product 268,Clothing,Apparel & Fashion,166.58,33
Product 269,Home Decor,Electronics & Gadgets,225.29,2
Product 270,Books,Books & Literature,284.23,23
Product 271,Toys & Games,Electronics & Gadgets,427.59,58
Product 272,Books,Apparel & Fashion,475.23,83
Product 273,Clothing,Toys & Games,31.4,92
Product 274,Books,Apparel & Fashion,278.29,52
Product 275,Toys & Games,Electronics & Gadgets,480.06,48
Product 276,Clothing,Books & Literature,325.32,56
Product 277,Clothing,Books & Literature,433.07,43
Product 278,Clothing,Electronics & Gadgets,149.21,23
Product 279,Electronics,Home & Garden,267.42,41
Product 280,Toys & Games,Toys & Games,175.31,41
Product 281,Electronics,Books & Literature,12.12,20
Product 282,Toys & Games,Electronics & Gadgets,282.68,37
Product 283,Toys & Games,Electronics & Gadgets,481.38,42
Product 284,Electronics,Books & Literature,332.08,31
Product 285,Clothing,Apparel & Fashion,339.14,71
Product 286,Home Decor,Apparel & Fashion,140.47,80
Product 287,Books,Home & Garden,380.96,23
Product 288,Books,Toys & Games,477.18,65
Product 289,Clothing,Electronics & Gadgets,25.72,12
Product 290,Home Decor,Books & Literature,434.26,47
Product 291,Home Decor,Books & Literature,212.82,69
Product 292,Electronics,Books & Literature,127.09,2
Product 293,Home Decor,Toys & Games,350.41,58
Product 294,Toys & Games,Books & Literature,93.37,10
Product 295,Books,Toys & Games,256.85,84
Product 296,Home Decor,Electronics & Gadgets,497.13,76
Product 297,Clothing,Home & Garden,455.82,77
Product 298,Books,Books & Literature,194.39,34
Product 299,Toys & Games,Books & Literature,392.09,27
Product 300,Clothing,Home & Garden,318.44,30
Product 301,Books,Books & Literature,391.3,88
Product 302,Toys & Games,Toys & Games,380.18,15
Product 303,Toys & Games,Electronics & Gadgets,343.31,2
Product 304,Books,Home & Garden,21.48,96
Product 305,Electronics,Apparel & Fashion,180.0,84
Product 306,Home Decor,Home & Garden,360.19,85
Product 307,Books,Apparel & Fashion,349.07,69
Product 308,Clothing,Toys & Games,473.71,94
Product 309,Toys & Games,Toys & Games,472.56,40
Product 310,Toys & Games,Home & Garden,124.08,21
Product 311,Clothing,Home & Garden,168.85,70
Product 312,Clothing,Electronics & Gadgets,95.61,32
Product 313,Books,Home & Garden,473.65,27
Product 314,Home Decor,Electronics & Gadgets,300.92,78
Product 315,Clothing,Electronics & Gadgets,65.01,25
Product 316,Electronics,Toys & Games,122.03,74
Product 317,Home Decor,Books & Literature,281.18,9
Product 318,Toys & Games,Toys & Games,80.93,4
Product 319,Books,Books & Literature,364.7,57
Product 320,Books,Home & Garden,472.89,42
Product 321,Home Decor,Electronics & Gadgets,145.25,5
Product 322,Home Decor,Apparel & Fashion,255.03,100
Product 323,Clothing,Toys & Games,49.02,74
Product 324,Toys & Games,Toys & Games,368.84,58
Product 325,Electronics,Toys & Games,291.89,28
Product 326,Clothing,Home & Garden,9.38,93
Product 327,Books,Apparel & Fashion,429.88,45
Product 328,Electronics,Toys & Games,24.42,68
Product 329,Books,Apparel & Fashion,75.52,77
Product 330,Clothing,Home & Garden,114.92,45
Product 331,Electronics,Home & Garden,242.82,16
Product 332,Electronics,Apparel & Fashion,384.72,32
Product 333,Electronics,Apparel & Fashion,296.69,53
Product 334,Home Decor,Toys & Games,135.9,46
Product 335,Home Decor,Home & Garden,365.76,63
Product 336,Books,Apparel & Fashion,215.43,16
Product 337,Toys & Games,Home & Garden,86.76,52
Product 338,Clothing,Apparel & Fashion,422.72,38
Product 339,Electronics,Home & Garden,30.71,50
Product 340,Clothing,Electronics & Gadgets,492.57,48
Product 341,Books,Books & Literature,380.71,25
Product 342,Toys & Games,Home & Garden,468.36,32
Product 343,Toys & Games,Books & Literature,78.71,13
Product 344,Toys & Games,Home & Garden,139.49,76
Product 345,Home Decor,Apparel & Fashion,173.99,74
Product 346,Home Decor,Books & Literature,478.86,94
Product 347,Clothing,Apparel & Fashion,60.84,68
Product 348,Home Decor,Toys & Games,111.76,59
Product 349,Clothing,Books & Literature,78.39,99
Product 350,Toys & Games,Home & Garden,95.95,24
Product 351,Home Decor,Electronics & Gadgets,210.52,37
Product 352,Books,Electronics & Gadgets,298.63,35
Product 353,Home Decor,Home & Garden,62.54,49
Product 354,Home Decor,Books & Literature,7.66,29
Product 355,Electronics,Books & Literature,471.1,3
Product 356,Toys & Games,Apparel & Fashion,331.79,25
Product 357,Books,Apparel & Fashion,396.71,1
Product 358,Home Decor,Books & Literature,158.76,9
Product 359,Home Decor,Toys & Games,310.36,70
Product 360,Clothing,Apparel & Fashion,86.88,16
Product 361,Clothing,Electronics & Gadgets,134.76,94
Product 362,Toys & Games,Books & Literature,446.21,55
Product 363,Home Decor,Home & Garden,189.26,17
Product 364,Electronics,Toys & Games,89.26,75
Product 365,Toys & Games,Books & Literature,320.43,15
Product 366,Home Decor,Books & Literature,274.84,100
Product 367,Home Decor,Apparel & Fashion,423.2,30
Product 368,Electronics,Toys & Games,105.93,74
Product 369,Home Decor,Books & Literature,24.72,8
Product 370,Toys & Games,Apparel & Fashion,22.54,5
Product 371,Clothing,Books & Literature,371.71,43
Product 372,Home Decor,Electronics & Gadgets,374.13,97
Product 373,Toys & Games,Apparel & Fashion,171.36,35
Product 374,Electronics,Books & Literature,458.65,67
Product 375,Home Decor,Electronics & Gadgets,446.26,35
Product 376,Books,Books & Literature,391.49,100
Product 377,Home Decor,Toys & Games,41.78,49
Product 378,Electronics,Electronics & Gadgets,149.6,80
Product 379,Clothing,Electronics & Gadgets,268.01,98
Product 380,Books,Electronics & Gadgets,444.15,59
Product 381,Electronics,Home & Garden,114.88,29
Product 382,Home Decor,Toys & Games,88.57,86
Product 383,Toys & Games,Electronics & Gadgets,291.84,21
Product 384,Electronics,Electronics & Gadgets,108.9,29
Product 385,Clothing,Toys & Games,69.07,28
Product 386,Clothing,Books & Literature,488.19,26
Product 387,Books,Home & Garden,491.38,14
Product 388,Books,Home & Garden,181.72,90
Product 389,Toys & Games,Books & Literature,409.31,44
Product 390,Clothing,Electronics & Gadgets,413.05,19
Product 391,Home Decor,Apparel & Fashion,400.77,87
Product 392,Books,Toys & Games,300.28,45
Product 393,Toys & Games,Electronics & Gadgets,301.77,2
Product 394,Electronics,Home & Garden,229.91,42
Product 395,Toys & Games,Toys & Games,461.89,74
Product 396,Toys & Games,Home & Garden,18.69,54
Product 397,Home Decor,Toys & Games,426.63,55
Product 398,Clothing,Toys & Games,118.29,46
Product 399,Home Decor,Apparel & Fashion,94.92,72
Product 400,Electronics,Apparel & Fashion,14.42,92
Product 401,Books,Electronics & Gadgets,411.24,42
Product 402,Home Decor,Apparel & Fashion,119.1,86
Product 403,Toys & Games,Toys & Games,290.03,56
Product 404,Home Decor,Apparel & Fashion,422.01,26
Product 405,Toys & Games,Home & Garden,136.98,20
Product 406,Clothing,Home & Garden,127.64,60
Product 407,Clothing,Electronics & Gadgets,57.0,77
Product 408,Home Decor,Toys & Games,256.91,83
Product 409,Clothing,Electronics & Gadgets,112.43,88
Product 410,Books,Books & Literature,81.43,39
Product 411,Electronics,Books & Literature,230.64,10
Product 412,Books,Electronics & Gadgets,69.25,80
Product 413,Home Decor,Books & Literature,487.13,9
Product 414,Books,Apparel & Fashion,18.78,37
Product 415,Electronics,Books & Literature,115.62,5
Product 416,Toys & Games,Books & Literature,38.68,22
Product 417,Books,Books & Literature,364.94,19
Product 418,Electronics,Electronics & Gadgets,276.34,17
Product 419,Home Decor,Electronics & Gadgets,293.97,85
Product 420,Clothing,Home & Garden,164.43,69
Product 421,Books,Toys & Games,382.98,88
Product 422,Home Decor,Electronics & Gadgets,423.74,98
Product 423,Electronics,Home & Garden,342.56,65
Product 424,Clothing,Electronics & Gadgets,102.07,68
Product 425,Electronics,Home & Garden,336.27,52
Product 426,Books,Toys & Games,218.55,60
Product 427,Home Decor,Home & Garden,399.68,44
Product 428,Home Decor,Toys & Games,84.48,67
Product 429,Toys & Games,Toys & Games,136.86,30
Product 430,Home Decor,Home & Garden,153.43,36
Product 431,Books,Home & Garden,265.06,77
Product 432,Books,Electronics & Gadgets,254.97,26
Product 433,Clothing,Electronics & Gadgets,199.23,89
Product 434,Home Decor,Home & Garden,104.71,75
Product 435,Electronics,Electronics & Gadgets,280.3,32
Product 436,Toys & Games,Books & Literature,191.5,60
Product 437,Home Decor,Books & Literature,456.72,70
Product 438,Books,Home & Garden,482.54,15
Product 439,Electronics,Electronics & Gadgets,387.05,54
Product 440,Home Decor,Home & Garden,457.75,29
Product 441,Electronics,Home & Garden,53.86,41
Product 442,Books,Electronics & Gadgets,425.14,99
Product 443,Clothing,Toys & Games,335.02,13
Product 444,Home Decor,Home & Garden,346.41,10
Product 445,Home Decor,Home & Garden,218.89,45
Product 446,Books,Home & Garden,315.87,78
Product 447,Home Decor,Apparel & Fashion,26.69,68
Product 448,Toys & Games,Toys & Games,154.4,40
Product 449,Clothing,Toys & Games,484.27,6
Product 450,Electronics,Toys & Games,420.28,90
Product 451,Electronics,Electronics & Gadgets,314.56,77
Product 452,Toys & Games,Books & Literature,370.27,30
Product 453,Books,Apparel & Fashion,321.27,21
Product 454,Electronics,Books & Literature,219.7,96
Product 455,Toys & Games,Home & Garden,148.85,29
Product 456,Home Decor,Electronics & Gadgets,472.66,54
Product 457,Home Decor,Toys & Games,156.77,87
Product 458,Clothing,Apparel & Fashion,170.66,79
Product 459,Clothing,Books & Literature,414.18,53
Product 460,Home Decor,Toys & Games,283.47,7
Product 461,Toys & Games,Apparel & Fashion,370.62,19
Product 462,Books,Toys & Games,382.08,22
Product 463,Electronics,Apparel & Fashion,28.22,24
Product 464,Home Decor,Books & Literature,325.3,6
Product 465,Books,Electronics & Gadgets,407.68,34
Product 466,Toys & Games,Toys & Games,354.26,3
Product 467,Books,Electronics & Gadgets,200.62,41
Product 468,Toys & Games,Apparel & Fashion,146.79,45
Product 469,Clothing,Toys & Games,241.05,60
Product 470,Clothing,Books & Literature,329.73,58
Product 471,Books,Electronics & Gadgets,199.15,80
Product 472,Electronics,Electronics & Gadgets,118.47,83
Product 473,Books,Books & Literature,333.54,5
Product 474,Books,Electronics & Gadgets,50.74,27
Product 475,Toys & Games,Apparel & Fashion,495.96,26
Product 476,Home Decor,Electronics & Gadgets,204.73,37
Product 477,Electronics,Home & Garden,98.21,35
Product 478,Toys & Games,Books & Literature,486.6,86
Product 479,Home Decor,Books & Literature,388.34,28
Product 480,Clothing,Books & Literature,162.72,55
Product 481,Home Decor,Home & Garden,68.68,91
Product 482,Clothing,Apparel & Fashion,353.68,92
Product 483,Clothing,Electronics & Gadgets,371.33,85
Product 484,Books,Toys & Games,207.14,91
Product 485,Clothing,Apparel & Fashion,305.16,4
Product 486,Electronics,Apparel & Fashion,426.85,31
Product 487,Clothing,Toys & Games,47.04,63
Product 488,Electronics,Apparel & Fashion,26.19,18
Product 489,Toys & Games,Toys & Games,188.08,3
Product 490,Electronics,Books & Literature,57.49,55
Product 491,Books,Apparel & Fashion,382.08,82
Product 492,Toys & Games,Books & Literature,182.75,13
Product 493,Electronics,Apparel & Fashion,395.51,43
Product 494,Electronics,Electronics & Gadgets,456.02,9
Product 495,Home Decor,Home & Garden,216.78,35
Product 496,Electronics,Apparel & Fashion,382.35,90
Product 497,Home Decor,Home & Garden,202.45,48
Product 498,Electronics,Books & Literature,390.7,98
Product 499,Toys & Games,Books & Literature,97.7,11
Product 500,Electronics,Electronics & Gadgets,8.29,75
Product 501,Electronics,Home & Garden,340.58,25
Product 502,Home Decor,Apparel & Fashion,445.42,88
Product 503,Home Decor,Home & Garden,114.25,47
Product 504,Books,Electronics & Gadgets,75.59,48
Product 505,Electronics,Books & Literature,361.75,89
Product 506,Toys & Games,Apparel & Fashion,94.41,87
Product 507,Toys & Games,Electronics & Gadgets,122.25,18
Product 508,Electronics,Apparel & Fashion,344.89,50
Product 509,Home Decor,Books & Literature,168.8,87
Product 510,Books,Toys & Games,84.36,97
Product 511,Clothing,Electronics & Gadgets,374.33,42
Product 512,Electronics,Electronics & Gadgets,67.36,14
Product 513,Toys & Games,Toys & Games,83.6,13
Product 514,Home Decor,Electronics & Gadgets,31.03,92
Product 515,Books,Books & Literature,459.06,25
Product 516,Electronics,Home & Garden,16.49,41
Product 517,Books,Toys & Games,470.82,24
Product 518,Electronics,Electronics & Gadgets,98.33,72
Product 519,Electronics,Electronics & Gadgets,189.31,81
Product 520,Books,Home & Garden,152.41,25
Product 521,Clothing,Toys & Games,88.24,95
Product 522,Books,Electronics & Gadgets,249.14,44
Product 523,Toys & Games,Home & Garden,266.94,11
Product 524,Toys & Games,Apparel & Fashion,187.36,94
Product 525,Clothing,Toys & Games,483.81,99
Product 526,Toys & Games,Apparel & Fashion,284.75,72
Product 527,Electronics,Home & Garden,21.42,31
Product 528,Home Decor,Toys & Games,316.9,12
Product 529,Home Decor,Home & Garden,114.41,4
Product 530,Books,Toys & Games,190.71,2
Product 531,Toys & Games,Home & Garden,351.91,60
Product 532,Home Decor,Toys & Games,189.38,44
Product 533,Toys & Games,Home & Garden,180.67,94
Product 534,Toys & Games,Books & Literature,222.28,57
Product 535,Clothing,Apparel & Fashion,38.17,5
Product 536,Electronics,Books & Literature,449.71,70
Product 537,Electronics,Apparel & Fashion,466.56,86
Product 538,Home Decor,Home & Garden,484.16,87
Product 539,Electronics,Electronics & Gadgets,391.62,29
Product 540,Home Decor,Electronics & Gadgets,322.75,89
Product 541,Toys & Games,Books & Literature,200.32,75
Product 542,Home Decor,Electronics & Gadgets,326.37,83
Product 543,Clothing,Books & Literature,98.77,68
Product 544,Home Decor,Home & Garden,238.08,8
Product 545,Books,Toys & Games,195.14,41
Product 546,Home Decor,Books & Literature,273.22,85
Product 547,Toys & Games,Toys & Games,319.22,1
Product 548,Home Decor,Books & Literature,5.39,49
Product 549,Toys & Games,Toys & Games,369.22,27
Product 550,Books,Home & Garden,22.65,30
Product 551,Books,Toys & Games,328.99,45
Product 552,Electronics,Apparel & Fashion,182.18,1
Product 553,Electronics,Books & Literature,331.31,22
Product 554,Clothing,Home & Garden,310.64,2
Product 555,Toys & Games,Toys & Games,72.67,12
Product 556,Clothing,Home & Garden,245.7,85
Product 557,Clothing,Books & Literature,423.76,12
Product 558,Books,Apparel & Fashion,301.17,55
Product 559,Electronics,Electronics & Gadgets,415.48,5
Product 560,Books,Home & Garden,25.1,83
Product 561,Clothing,Electronics & Gadgets,57.74,27
Product 562,Toys & Games,Electronics & Gadgets,166.63,88
Product 563,Toys & Games,Electronics & Gadgets,309.25,97
Product 564,Toys & Games,Electronics & Gadgets,426.82,64
Product 565,Toys & Games,Electronics & Gadgets,96.59,22
Product 566,Clothing,Apparel & Fashion,54.12,40
Product 567,Books,Electronics & Gadgets,75.61,78
